ZONE_CODE,ZONE_LABEL,data_Cycle,data_Drive,data_Inact,data_CO2
E06000002,Middlesbrough,1.400000000000000,32.300000000000000,52.800000000000000,837.300000000000000
E07000153,Kettering,1.300000000000000,48.300000000000000,53.200000000000000,739.100000000000000
E07000164,Hambleton,1.900000000000000,44.900000000000000,61.000000000000000,959.900000000000000
E06000025,South Gloucestershire,2.800000000000000,49.500000000000000,59.000000000000000,2103.500000000000000
E07000148,Norwich,5.600000000000000,28.600000000000000,61.100000000000000,745.500000000000000
E07000223,Adur,2.500000000000000,41.300000000000000,58.800000000000000,314.200000000000000
E09000020,Kensington and Chelsea,3.100000000000000,8.200000000000000,56.100000000000000,1396.900000000000000
E07000139,North Kesteven,2.600000000000000,46.900000000000000,59.400000000000000,750.800000000000000
E07000169,Selby,1.700000000000000,49.400000000000000,60.400000000000000,993.700000000000000
E08000017,Doncaster,1.500000000000000,39.200000000000000,50.900000000000000,2444.500000000000000
E09000013,Hammersmith and Fulham,5.100000000000000,8.200000000000000,64.200000000000000,978.600000000000000
E07000213,Spelthorne,1.900000000000000,47.300000000000000,55.800000000000000,667.400000000000000
E07000130,Charnwood,2.400000000000000,42.900000000000000,62.500000000000000,1039.300000000000000
E07000074,Maldon,1.200000000000000,44.900000000000000,60.300000000000000,352.600000000000000
E07000011,Huntingdonshire,2.600000000000000,48.400000000000000,62.800000000000000,1658.100000000000000
E07000050,North Dorset,1.500000000000000,44.600000000000000,58.600000000000000,438.500000000000000
E06000019,"Herefordshire, County of",2.500000000000000,42.400000000000000,61.300000000000000,1517.800000000000000
E07000028,Carlisle,1.800000000000000,40.800000000000000,52.400000000000000,551.000000000000000
E08000009,Trafford,2.100000000000000,43.400000000000000,62.500000000000000,1958.200000000000000
E08000010,Wigan,1.000000000000000,44.000000000000000,50.100000000000000,1806.900000000000000
E07000131,Harborough,1.500000000000000,50.300000000000000,61.800000000000000,740.200000000000000
E07000227,Horsham,1.200000000000000,45.800000000000000,63.800000000000000,898.800000000000000
E08000011,Knowsley,0.900000000000000,34.200000000000000,45.700000000000000,1142.200000000000000
E07000101,Stevenage,1.700000000000000,44.700000000000000,54.100000000000000,513.600000000000000
E08000002,Bury,0.900000000000000,43.300000000000000,52.200000000000000,1181.800000000000000
E07000141,South Kesteven,2.000000000000000,45.900000000000000,60.700000000000000,1060.600000000000000
E06000032,Luton,0.800000000000000,35.400000000000000,45.100000000000000,922.000000000000000
E07000135,Oadby and Wigston,2.000000000000000,43.900000000000000,62.600000000000000,265.800000000000000
E07000200,Babergh,1.300000000000000,45.600000000000000,58.800000000000000,657.800000000000000
E07000105,Ashford,1.700000000000000,43.700000000000000,52.900000000000000,831.900000000000000
E08000001,Bolton,0.600000000000000,40.300000000000000,60.000000000000000,1555.900000000000000
E07000043,North Devon,2.300000000000000,37.700000000000000,59.300000000000000,677.300000000000000
E08000027,Dudley,0.800000000000000,43.600000000000000,53.400000000000000,1565.100000000000000
E07000178,Oxford,10.400000000000000,20.000000000000000,65.900000000000000,954.600000000000000
E07000123,Preston,1.400000000000000,36.300000000000000,57.200000000000000,946.700000000000000
E09000005,Brent,1.700000000000000,17.400000000000000,52.200000000000000,1365.000000000000000
E07000236,Redditch,1.100000000000000,47.700000000000000,58.500000000000000,440.700000000000000
E07000168,Scarborough,1.400000000000000,32.900000000000000,51.400000000000000,747.300000000000000
E07000208,Epsom and Ewell,1.800000000000000,36.600000000000000,59.100000000000000,346.500000000000000
E08000032,Bradford,0.500000000000000,35.800000000000000,50.600000000000000,2723.700000000000000
E06000009,Blackpool,1.900000000000000,33.400000000000000,52.500000000000000,704.300000000000000
E09000016,Havering,0.600000000000000,31.800000000000000,57.000000000000000,1211.300000000000000
E06000035,Medway,0.700000000000000,41.400000000000000,54.200000000000000,1181.300000000000000
E07000165,Harrogate,1.600000000000000,44.200000000000000,59.300000000000000,1409.300000000000000
E09000029,Sutton,1.500000000000000,33.100000000000000,59.900000000000000,821.100000000000000
E06000026,Plymouth,1.600000000000000,35.500000000000000,50.900000000000000,1276.700000000000000
E06000045,Southampton,2.900000000000000,33.900000000000000,54.800000000000000,1152.800000000000000
E07000205,Suffolk Coastal,3.100000000000000,44.100000000000000,60.900000000000000,721.400000000000000
E06000027,Torbay,0.800000000000000,37.500000000000000,52.400000000000000,600.300000000000000
E07000038,North East Derbyshire,0.500000000000000,46.300000000000000,55.000000000000000,683.900000000000000
E06000007,Warrington,1.800000000000000,47.600000000000000,53.500000000000000,1688.800000000000000
E07000197,Stafford,1.800000000000000,45.000000000000000,56.500000000000000,1281.700000000000000
E07000005,Chiltern,0.600000000000000,41.900000000000000,62.500000000000000,543.600000000000000
E07000134,North West Leicestershire,1.100000000000000,50.300000000000000,57.700000000000000,1085.300000000000000
E07000136,Boston,4.300000000000000,41.000000000000000,54.600000000000000,447.900000000000000
E07000140,South Holland,2.700000000000000,45.800000000000000,54.100000000000000,685.600000000000000
E07000026,Allerdale,1.000000000000000,41.300000000000000,56.500000000000000,1167.500000000000000
E07000008,Cambridge,18.100000000000000,19.100000000000000,76.800000000000000,775.800000000000000
E07000053,Weymouth and Portland,2.100000000000000,37.100000000000000,56.800000000000000,290.700000000000000
E07000217,Woking,1.900000000000000,41.400000000000000,59.600000000000000,603.000000000000000
E07000214,Surrey Heath,1.300000000000000,50.100000000000000,65.900000000000000,662.800000000000000
E08000024,Sunderland,0.800000000000000,36.000000000000000,49.300000000000000,1684.400000000000000
E07000212,Runnymede,2.000000000000000,43.800000000000000,59.500000000000000,772.800000000000000
